file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,logout/0,false,404,11,2,0,2,8,12,30,1,5,0,12,0,0,1,3,1,0,3,0,7,1,3,0,0,0,30,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,delete/0,false,450,8,3,0,3,3,9,13,1,2,0,9,0,0,0,0,0,0,4,0,2,0,1,0,0,0,19,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,delete/1[java.lang.String],false,479,12,2,0,2,4,13,20,1,5,1,13,0,0,0,1,0,0,8,0,5,0,1,0,0,0,31,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,UserResource/1[com.sismics.reader.rest.resource.HttpServletRequest],true,66,3,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,"update/10[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean]",false,258,15,5,0,5,12,29,52,1,5,10,29,0,0,0,9,0,0,19,3,11,0,1,0,0,0,53,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,"list/4[java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Boolean]",false,641,11,2,0,2,3,15,23,1,6,4,15,0,0,1,0,0,0,11,0,6,0,1,0,0,0,35,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,checkUsername/1[java.lang.String],false,336,8,0,0,0,2,5,13,1,3,1,5,0,0,0,1,0,0,8,0,3,0,1,0,0,0,24,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestJobResource.java,com.sismics.reader.rest.TestJobResource,testJobResource/0,false,28,5,0,0,0,1,19,43,0,7,0,19,0,0,0,0,0,0,29,9,11,2,0,0,0,0,50,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ThemeResource.java,com.sismics.reader.rest.resource.ThemeResource,list/0,false,33,7,3,0,3,4,9,19,1,5,0,9,0,0,1,0,1,0,4,0,5,0,1,0,0,0,19,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ThemeResource.java,com.sismics.reader.rest.resource.ThemeResource,ThemeResource/1[com.sismics.reader.rest.resource.HttpServletRequest],true,27,3,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
